date	resort	author	article	article-cicker	workload-index	
02.01.2020 16:30:00	international	APA	Demokrat Julián Castro steigt aus US-Präsidentschaftswahlkampf aus	US-Wahl	6477
02.01.2020 16:13:00	international	APA	29 Tage Streik in Frankreich: Rekord aus dem Jahr 1987 gebrochen	Frankreich	6061
02.01.2020 15:18:00	international	APA	Anwalt: Belgien liefert Puigdemont nicht an Spanien aus	Spanien	7808
02.01.2020 12:11:00	international	APA	Grüne im EU-Parlament fordern Strafverfahren wegen Passverkäufen	Passverkauf	6526
02.01.2020 12:04:00	international	APA	Trump will am Weltwirtschaftsforum in Davos teilnehmen	Berichte	5923
02.01.2020 20:19:00	international	dpa	Katalanische ERC-Separatisten ermöglichen Pedro Sanchez´ Wiederwahl	Spanien	6005
02.01.2020 18:24:00	international	dpa	Türkei erlaubt Truppenentsendung nach Libyen	Türkei	10573
02.01.2020 16:13:00	international	AFP	29 Tage Streik in Frankreich: Rekord aus dem Jahr 1987 gebrochen	Frankreich	6061
02.01.2020 15:54:00	international	maa	US-Botschaft in Bagdad ist nach Protesten im Irak geschlossen	Gewalt	7553
02.01.2020 15:54:00	international	Reuters	US-Botschaft in Bagdad ist nach Protesten im Irak geschlossen	Gewalt	7553
02.01.2020 15:31:00	international	Manuel Escher	Israels Premier Netanjahu schützt sich selbst und spielt auf Zeit	Immunität	9398
02.01.2020 14:46:00	international	faso	Satiriker Sonneborn will mit 20 Klimaforschern zu deutscher Bundestagswahl antreten	Klimaschutz	10051
02.01.2020 20:02:00	inland	Karin Riss	Neue Regierung: Kompromiss mit grünem Zähneknirschen	Türkis-Grün	14253
02.01.2020 18:29:00	inland	Irene Brickner	Migration und Integration: Sich integrieren soll einfacher werden	Regierungsprogramm	10370
02.01.2020 18:23:00	inland	Lisa Nimmervoll	Bildung: Kopftuchverbot bis 14 und Bildungspflicht bis 18	Regierungsprogramm	16657
